"";"Rank";"Name";"YB";"NSA";"Ski";"venue";"Disciplina";"temperatura";"vreme";"sneg";"tocke_30"
"980";18;"GROSS Stefano";1986;"ITA";"Voelkl";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";13
"981";19;"MAURBERGER Simon";1995;"ITA";"Atomic";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";12
"982";20;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";11
"983";21;"NEF Tanguy";1996;"SUI";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";10
"984";22;"VIDOVIC Matej";1993;"CRO";"Head";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";9
"985";23;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";8
"986";24;"SALA Tommaso";1995;"ITA";"Dynastar";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";7
"987";25;"GSTREIN Fabio";1997;"AUT";"Atomic";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";6
"988";26;"ROCHAT Marc";1992;"SUI";"Nordica";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";5
"989";27;"POPOV Albert";1997;"BUL";"Head";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";4
"990";28;"MOELGG Manfred";1982;"ITA";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";3
"991";29;"VINATZER Alex";1999;"ITA";"Nordica";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";2
"992";1;"FELLER Manuel";1992;"AUT";"Atomic";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";100
"993";2;"NOEL Clement";1997;"FRA";"Dynastar";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";80
"994";3;"SCHWARZ Marco";1995;"AUT";"Atomic";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";60
"995";4;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";50
"996";5;"STRASSER Linus";1992;"GER";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";45
"997";6;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";40
"998";7;"RYDING Dave";1986;"GBR";"Fischer";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";36
"999";8;"AERNI Luca";1993;"SUI";"Fischer";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";32
"1000";9;"PINTURAULT Alexis";1991;"FRA";"Head";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";29
"1001";10;"NEF Tanguy";1996;"SUI";"Fischer";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";26
"1002";11;"MEILLARD Loic";1996;"SUI";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";24
"1003";12;"HIRSCHBUEHL Christian";1990;"AUT";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";22
"1004";13;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";20
"1005";14;"GSTREIN Fabio";1997;"AUT";"Atomic";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";18
"1006";15;"PERTL Adrian";1996;"AUT";"Voelkl";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";16
"1007";16;"POPOV Albert";1997;"BUL";"Head";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";15
"1008";17;"HADALIN Stefan";1995;"SLO";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";14
"1009";18;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";13
"1010";19;"GROSS Stefano";1986;"ITA";"Voelkl";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";12
"1011";20;"MATT Michael";1993;"AUT";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";11
"1012";21;"SIMONET Sandro";1995;"SUI";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";10
"1013";22;"TREMMEL Anton";1994;"GER";"Nordica";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";9
"1014";23;"HAUGAN Timon";1996;"NOR";"Head";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";8
"1015";24;"ZUBCIC Filip";1993;"CRO";"Atomic";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";7
"1016";25;"DIGRUBER Marc";1988;"AUT";"Atomic";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";6
"1017";26;"RAUCHFUSS Julian";1994;"GER";"Rossignol";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";5
"1018";27;"READ Erik";1991;"CAN";"Atomic";"Flachau1";"SL";-6;"MOSTLY CLOUDY";"HARD";4
"1019";1;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";100
"1020";2;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";80
"1021";3;"SIMONET Sandro";1995;"SUI";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";60
"1022";4;"PERTL Adrian";1996;"AUT";"Voelkl";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";50
"1023";4;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";50
"1024";6;"SCHWARZ Marco";1995;"AUT";"Atomic";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";40
"1025";7;"RAZZOLI Giuliano";1984;"ITA";"Fischer";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";36
"1026";8;"MOELGG Manfred";1982;"ITA";"Fischer";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";32
"1027";8;"PINTURAULT Alexis";1991;"FRA";"Head";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";32
"1028";10;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";26
"1029";11;"FELLER Manuel";1992;"AUT";"Atomic";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";24
"1030";12;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";22
"1031";13;"VINATZER Alex";1999;"ITA";"Nordica";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";20
"1032";14;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";18
"1033";15;"HADALIN Stefan";1995;"SLO";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";16
"1034";16;"MATT Michael";1993;"AUT";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";15
"1035";17;"AERNI Luca";1993;"SUI";"Fischer";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";14
"1036";18;"YULE Daniel";1993;"SUI";"Fischer";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";13
"1037";19;"WINTERS Luke";1997;"USA";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";12
"1038";20;"HOLZMANN Sebastian";1993;"GER";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";11
"1039";21;"ROCHAT Marc";1992;"SUI";"Nordica";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";10
"1040";21;"MAURBERGER Simon";1995;"ITA";"Atomic";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";10
"1041";23;"POPOV Albert";1997;"BUL";"Head";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";8
"1042";23;"STRASSER Linus";1992;"GER";"Rossignol";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";8
"1043";25;"ZUBCIC Filip";1993;"CRO";"Atomic";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";6
"1044";26;"GSTREIN Fabio";1997;"AUT";"Atomic";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";5
"1045";27;"MARCHANT Armand";1997;"BEL";"Salomon";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";4
"1046";28;"GROSS Stefano";1986;"ITA";"Voelkl";"Chamonix2";"SL";0,75;"PARTLY CLOUDY";"COMPACT";3
"1047";1;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";100
"1048";2;"SCHWARZ Marco";1995;"AUT";"Atomic";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";80
"1049";3;"PINTURAULT Alexis";1991;"FRA";"Head";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";60
"1050";4;"MEILLARD Loic";1996;"SUI";"Rossignol";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";50
"1051";5;"GSTREIN Fabio";1997;"AUT";"Atomic";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";45
"1052";6;"AERNI Luca";1993;"SUI";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";40
"1053";7;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";36
"1054";8;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";32
"1055";9;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";29
"1056";10;"MATT Michael";1993;"AUT";"Rossignol";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";26
"1057";11;"GINNIS A.";1994;"GRE";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";24
"1058";12;"RYDING Dave";1986;"GBR";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";22
"1059";13;"MOELGG Manfred";1982;"ITA";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";20
"1060";14;"STROLZ Johannes";1992;"AUT";"Head";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";18
"1061";15;"POPOV Albert";1997;"BUL";"Head";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";16
"1062";16;"GROSS Stefano";1986;"ITA";"Voelkl";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";15
"1063";17;"FELLER Manuel";1992;"AUT";"Atomic";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";14
"1064";18;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";13
"1065";19;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";12
"1066";20;"ROCHAT Marc";1992;"SUI";"Nordica";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";11
"1067";21;"RAZZOLI Giuliano";1984;"ITA";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";10
"1068";22;"YULE Daniel";1993;"SUI";"Fischer";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";9
"1069";23;"HADALIN Stefan";1995;"SLO";"Rossignol";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";8
"1070";24;"HAUGAN Timon";1996;"NOR";"Head";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";7
"1071";25;"PERTL Adrian";1996;"AUT";"Voelkl";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";6
"1072";26;"READ Erik";1991;"CAN";"Atomic";"Flachau2";"SL";-8,5;"MOSTLY CLOUDY";"HARD";5
