"C5W
Audi
FIS Ski World Cup";"AUDI FIS SKI WORLD CUP 2020/21
Val Gardena / Groden (ITA)";LONGINES
F//s;"2nd Men's Downhill
OFFICIAL RESULTS";"SAT 19 DEC 2020
Start Time 11:45"
Number of Competitors: 61, Number of NSAs: 13
: 0.00
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Time;Difference;"Distance
(m)";Ski
SAT 19 DEC 2020 / Val Gardena / Groden (ITA) / 0055________________________________________________________________________________________________________Page 1/2
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SAT 19 DEC 2020	Time : 13:51	Document: C73A 1.0
"GOOD
Audi
FIS Ski World Cup";"AUDI FIS SKI WORLD CUP 2020/21
Val Gardena / Groden (ITA)";"LONGINES
""-nF’ '"
Fys;"2nd Men's Downhill
OFFICIAL RESULTS";"SAT 19 DEC 2020
Start Time 11:45"
Number of Competitors: 61, Number of NSAs: 13
applied: 0.00
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Time;Difference;"Distance
(m)";Ski
45;52;6290845;BOSCA Guglielmo;1993;ITA;2:04.79;3.34;86.85;Head
46;34;422403;ROEA Henrik;1995;NOR;2:05.12;3.67;95.18;
47;54;492063;ETXEZARRETA Adur;1996;ESP;2:05.14;3.69;95.69;Head
48;53;6291625;SCHIEDER Florian;1995;ITA;2:05.17;3.72;96.44;Atomic
49;48;512281;ROESTI Lars;1998;SUI;2:05.26;3.81;98.70;Rossignol
49;40;54080;NEUMAYER Christopher;1992;AUT;2:05.26;3.81;98.70;Salomon
51;58;54371;BABINSKY Stefan;1996;AUT;2:05.34;3.89;100.71;Head
52;49;561217;KOSI Klemen;1991;SLO;2:05.52;4.07;105.22;Atomic
53;37;54009;WALDER Christian;1991;AUT;2:05.60;4.15;107.22;Salomon
54;51;104096;THOMPSON Broderick;1994;CAN;2:05.66;4.21;108.72;Head
55;55;104531;CRAWFORD James;1997;CAN;2:05.75;4.30;110.96;Head
56;41;104468;READ Jeffrey;1997;CAN;2:05.80;4.35;112.21;Atomic
57;44;502004;KOELL Alexander;1990;SWE;2:05.97;4.52;116.44;Atomic
58;60;6531444;ARVIDSSON Erik;1996;USA;2:06.55;5.10;130.77;Head
59;38;6290393;CAZZANIGA Davide;1992;ITA;2:06.60;5.15;132.00;Atomic
60;61;700878;BENDIK Martin;1993;SVK;2:07.10;5.65;144.25;Atomic
61;59;221117;GOWER Jack;1994;GBR;2:08.27;6.82;172.53;Salomon
Jury;;Technical Data;;
FIS Technical Delegate;STOCKER Rudolf;AUT;Course Name;Saslong
Referee;WALDNER Markus;FIS;Start Altitude;2191m
Assistant Referee;TRINKL Hannes;FIS;Finish Altitude;1410m
Chief of Race;SENONER Rainer;ITA;Vertical Drop;781m
;;;Course Length;3245m
;;;Homologation Number;12112/10/16
Race Information;;;;
Course Setter;TRINKL Hannes;FIS;;
Gates;39;;;
Start Time;11:45;;;
Forerunners:;;;;;;
;F1 - ZAZZI Pietro;ITA;F2 - MOLTENI Nicolo;ITA;F3 - SIMONI Federico;ITA
Conditions on course:;;;;
SUNNY;Snow: HARD;Temperature - Start:;-1°C;Temperature - Finish: -2°C
Legend:
YB Year of Birth
SAT 19 DEC 2020 / Val Gardena / Groden (ITA) / 0055________________________________________________________________________________________________________Page 2/2
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SAT 19 DEC 2020	Time : 13:51	Document: C73A 1.0
