Start Referee;SEMPLICI Elena;;ITA;Homologation Number;;13958/01/21
Finish Referee;RIZZO Giovanna;;ITA;;;
Race Information Run 1;;;;Race Information Run 2;;
Course Setter;JORIS Matteo;;SUI;Course Setter;PFEIFER Marko;AUT
Gates/Turning Gates;63/62;;;Gates/Turning Gates;65/62;
Start Time;10:00;;;Start Time;13:30;
Forerunners:;;;;;;
Run 1:;F1 - BENDOTTI Matteo;ITA;;F2 - KASTLUNGER Tobias	ITA;F3 - PLONER Manuel;ITA
Run 2:;F1 - BENDOTTI Matteo;ITA;;F2 - KASTLUNGER Tobias	ITA;F3 - PLONER Manuel;ITA
Conditions on course:;;;;;;
Run 1;	SUNNY;Snow:HARD;Temperature - Start:; 1°C;Temperature - Finish:;1°C
Run 2;	SUNNY;Snow:COMPACT;Temperature - Start:; 5°C;Temperature - Finish:;5°C
Legend:
YB Year of Birth
SUN 21 FEB 2021 / Cortina d'Ampezzo (ITA) / 0080___________________________________________________________________________________________________________Page 4/4
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SUN 21 FEB 2021	Time : 14:45	Document: C73C 1.0
